Ministry of Finance,
Budget Utilization ,
Covid 19 intervention,
as at 5th May 2020,
BUDGET UTILIZATION,
Sector,Amount(N)
CBN Stimulus Pakage,"3,324,000,000"
Sum of Health emergency funds,"700,000,000"
Fund for improving Health care Facilities,"20,000,000"
Total,"4,044,000,000"
,
